Dataset,Initial Algorithm,Removal Heuristic,Insertion Algorithm,Optimal Value,Average Processing Time
eil51.tsp,Nearest_Neighbor_Heuristic,Random_Removal,Basic_Insertion,508,0.00144031
eil51.tsp,Nearest_Neighbor_Heuristic,Random_Removal,Regret_2_Heuristic,491,0.001458097
eil51.tsp,Nearest_Neighbor_Heuristic,Random_Removal,Regret_3_Heuristic,508,0.001470304
eil51.tsp,Nearest_Neighbor_Heuristic,Random_Removal,Regret_N_Heuristic,491,0.001506519
eil51.tsp,Nearest_Neighbor_Heuristic,Random_Removal,Greedy_Insertion,507,0.001437092
eil51.tsp,Nearest_Neighbor_Heuristic,Random_Removal,Best_Insertion,507,0.001452708
eil51.tsp,Nearest_Neighbor_Heuristic,Random_Removal,Cheapest_Insertion,507,0.001487207
eil51.tsp,Nearest_Neighbor_Heuristic,Random_Removal,Nearest_Insertion,491,0.001570511
eil51.tsp,Nearest_Neighbor_Heuristic,Random_Removal,Random_Insertion,511,0.001062298
eil51.tsp,Nearest_Neighbor_Heuristic,Random_Removal,farthest_insertion,511,0.001524401
eil51.tsp,Nearest_Neighbor_Heuristic,Worst_Removal,Basic_Insertion,511,0.001722598
eil51.tsp,Nearest_Neighbor_Heuristic,Worst_Removal,Regret_2_Heuristic,511,0.001720715
eil51.tsp,Nearest_Neighbor_Heuristic,Worst_Removal,Regret_3_Heuristic,511,0.001728702
eil51.tsp,Nearest_Neighbor_Heuristic,Worst_Removal,Regret_N_Heuristic,511,0.001740122
eil51.tsp,Nearest_Neighbor_Heuristic,Worst_Removal,Greedy_Insertion,511,0.001694083
eil51.tsp,Nearest_Neighbor_Heuristic,Worst_Removal,Best_Insertion,511,0.001694107
eil51.tsp,Nearest_Neighbor_Heuristic,Worst_Removal,Cheapest_Insertion,511,0.001697707
eil51.tsp,Nearest_Neighbor_Heuristic,Worst_Removal,Nearest_Insertion,511,0.001809597
eil51.tsp,Nearest_Neighbor_Heuristic,Worst_Removal,Random_Insertion,511,0.001348805
eil51.tsp,Nearest_Neighbor_Heuristic,Worst_Removal,farthest_insertion,511,0.001826406
eil51.tsp,Nearest_Neighbor_Heuristic,Shaw_Removal,Basic_Insertion,475,0.001617599
